name,internal_id_number
TUKULA HOLDINGS (PTY) LTD,P0196
LINCOLN PLACE (PTY) LTD,P0197
IE CAPITAL INVESTMENTS (PTY) LTD,P0198
MASHUDU PLANT HIRE (PTY) LTD RESIGNED,P0200
ABC GROUP INVESTMENT (PTY) LTD,P0201
ERGON MACHINING AND ENGINEERING CO (PTY) LTD,P0202
NEW LANTERN ROADHOUSE (PTY) LTD,P0203
IE ESCROW (PTY) LTD,P0204
KHUMOENTLE INVESTMENTS (PTY) LTD,P0205
NEW ERA HEALTH (PTY) LTD,P0207
BOKAMOSO PEELETSO (PTY) LTD,P0208
NUTRIVITA (PTY) LTD,P0209
VILLAGE PLUS (PTY) LTD,P0210
SMART VILLAGE PROPERTY (PTY) LTD,P0211
ALTERNATIVEINFRA (PTY) LTD,P0214
MMAKALA HOLDINGS (PTY) LTD,P0215
CORAL LAGOON PROPERTY (PTY) LTD,P0216
MEDICAL RADIODIAGNOSTICS (PTY) LTD,P0217
HOORZUK HOLDINGS (PTY) LTD,P0218
HOORZUK INVESTMENTS (PTY) LTD,P0219
KNOWLEDGE FACTORY (PTY) LTD,P0221
FRANKIE BESOKE INVESTMENTS (PTY) LTD,P0222
IE CAPITAL VENTURES (PTY) LTD,P0223
ABC HEALTHCARE (PTY) LTD,P0224
ABC REAL ESTATE (PTY) LTD,P0225
LA MATTA (PTY) LTD,P0227
DSHAVHANI PLANT HIRE (PTY) LTD RESIGNED,P0231
MELIS BOTTLESTORE (PTY) LTD,P0232
TUKULA CONNECTED  (PTY) LTD,P0233
KHUMOENTLE PROJECTS AND TRADING (PTY) LTD,P0234
CATTLEWORX (PTY) LTD,P0235
KHABOKEDI ANKONE JOINT VENTURE (PTY) LTD,P0236
JVA PROPERTY RENTAL (PTY) LTD,P0237
CIRCO LONG STREET (PTY) LTD,P0238
ULTRA PRO TRANSPORT (PTY) LTD,P0239
RETAIL PROPERTY STILFONTEIN (PTY) LTD,P0240
ALEXCALE (PTY) LTD,P0241
MATOKE ENVIROMENTAL (PTY) LTD,P0242
DIE BAARD (PTY) LTD,P0243
SOVEREIGN CONSTRUCTION TRADING (PTY) LTD,P0244
SHESHADOTCOM (PTY) LTD RESIGNED,P0246
KAMENOS PROPERTIES  (PTY) LTD,P0247
BIZARMOUR SA (PTY) LTD,P0248
ROMADOR OPERATIONS (PTY) LTD,P0249
DUAL TEMP ENGINEERING (PTY) LTD,P0250
ALVARIUM BLUE ENTERPRISES (PTY) LTD,P0251
ED PROPERTY DEVELOPMENT (PTY) LTD,P0252
TRADEMAX (PTY) LTD,P0253
LILLIENFELDT INTERNATIONAL (PTY) LTD,P0254
MAJESTIC LOUNGE (PTY) LTD,P0255
MASENTLE FUNERAL HOME (PTY) LTD,P0256
KOTETSI (PTY) LTD,P0258
MAP TRANSPORT AND PROJECTS (PTY) LTD,P0259
FRANCARLO MANUFACTURING (PTY) LTD,P0260
RAMAGAPU TRADING AND PROJECTS (PTY) LTD,P0261
ELIADES GROUP (PTY) LTD,P0262
MEGAGRACE73 (PTY) LTD,P0263
DREAM GIRL INTERNATIONAL (PTY) LTD,P0264
PINNACLE ORTHOPEDIC SOLUTIONS (PTY) LTD,P0265
JACKED EVENTS (PTY) LTD,P0266
KINGS CROSS CONSTRUCTION  (PTY) LTD,P0268
ELIADES PROPERTY GROUP (PTY) LTD,P0269
HESHMO HOLDING (PTY) LTD,P0270
MAMOTH TRADING (PTY) LTD,P0271
IE CAPITAL INVEST 1 (PTY) LTD,P0272
IE CAPITAL INVEST 2 (PTY) LTD,P0273
BJTJ ENTERPRISE (PTY) LTD,P0274
HAPK INVESTMENT (PTY) LTD,P0275
ELIADES (PTY) LTD,P0276
AGDMC (PTY) LTD,P0278
PDMC INVESTMENTS (PTY) LTD,P0279
GOLDFIELDS LABOUR CONSULTANTS (PTY) LTD,P0280
SPEELMAN SEUNS DOGTERS MOOI PLAAS (PTY) LTD,P0281
PAWPARK PROFESSIONAL DOGGY PARLOUR (PTY) LTD,P0282
VANTIM (PTY) LTD,P0283
PAWPARK MOBILE (PTY) LTD,P0284
BONAKELE ENVIROMENTAL SOLUTIONS (PTY) LTD,P0285
G AND V (PTY) LTD,P0286
AMIGOS TAKE AWAY (PTY) LTD,P0287
MSP COMPONENTS (PTY) LTD,P0288
SAVVAS INVESTMENTS (PTY) LTD,P0289
KHUMO DOCUMENTS SOLUTIONS (PTY) LTD,P0290
JAMIE TROSKIE (PTY) LTD,P0291
SOVEREIGN RENOVATIONS (PTY) LTD,P0292
SPARTANS PROP (PTY) LTD,P0293
ROMADOR RENEWABLE ENERGY SOLUTIONS (PTY) LTD,P0295
IE PROPERTIES (PTY) LTD,P0298
HUNTER'S DIGNITY FUNERAL PARLOUR (PTY) LTD,P0301
ELIADES REAL ESTATE  (PTY) LTD,P0302
PLASTIC BAZAARS STILFONTEIN (PTY) LTD,P0303
LIQUOR LANE (PTY) LTD,P0304
E PETROL (PTY) LTD,P0305
TERRACE CAFE (PTY) LTD t/a Bird n Co,P0308
MAPP SA (PTY) LTD,P0309
J VAN A INVESTMENTS (PTY) LTD,P0310
MAVERICK COMPONENTS (PTY) LTD,P0311
ITAL PROP (PTY) LTD,P0313
OPEN SKY FILM STUDIOS (PTY) LTD,P0314
IE P INVESTMENT (PTY) LTD,P0315
AD GROUP DISTRIBUTION (PTY) LTD,P0316
SILVERMANOR PROPERTIES (PTY) LTD,P0317
AD OUTLET SHOP (PTY) LTD,P0318
KHABOKEDI RECYCLING (PTY) LTD,P0319
SG ELECTRICAL AND SOLAR  (PTY) LTD,P0320
NEW ERA HEALTH PHARMACY  (PTY) LTD,P0321
MUNGWAP CAFE  (PTY) LTD,P0322
M B GENERAL TRADERS (PTY) LTD,P0323
BOSSA COUNTRY (PTY) LTD,P0324
WHITEBOARD INVESTMENTS (PTY) LTD,P0325
SAPIEBRA TRADING (PTY) LTD,P0326
SAVINGO CONSULTING (PTY) LTD,P0327
HYDROLOGIC CONSULTING (PTY) LTD,P0328
BOSSA HOLDING (PTY) LTD,P0330
LA ROMANTICA (PTY) LTD,P0331
BOSSA MARKETING (PTY) LTD,P0332
JACKSON AND BLACK PAARL (PTY) LTD,P0333
REINHARDT HOOGTE (PTY) LTD,P0334
BCNZ HOLDINGS (PTY) LTD,P0335
JACKSON AND BLACK (PTY) LTD,P0336
BOSSA MODDERFONTEIN (PTY) LTD,P0337
NOHIN (PTY) LTD,P0338
BIG BOSS ASSET HOLDING COMPANY (RF) (PTY) LTD,P0339
METEX INVESTMENTS (RF) (PTY) LTD,P0341
BIG G TRADING (RF) (PTY) LTD,P0342
BIG G EMPLOYMENT SERVICES (PTY) LTD,P0346
